dist,litrate,sexratio,area,popdensity,workpoprate
West Nimar,62.7,965,8025,233,47.74
Maharajganj,62.76,943,2952,909,37.03
Nagaur,62.8,950,17718,187,43.11
Darrang,63.08,954,1585,586,34.99
Prakasam,63.08,981,17626,193,50.05
Bhagalpur,63.14,880,2569,1182,32.38
Giridih,63.14,944,4962,493,42.38
Rajsamand,63.14,990,4655,248,47.63
Mayurbhanj,63.17,1006,10418,242,48.56
Guna,63.23,912,6390,194,41.47
Muzaffarpur,63.43,900,3172,1514,32.23
Pulwama,63.48,912,1086,516,33.62
Lalitpur,63.52,906,5039,242,41.2
Chirang,63.55,969,1923,251,40.21
Anantapur,63.57,977,19130,213,49.89
Palamu,63.63,928,4393,442,36.76
Gaya,63.67,937,4976,883,37.89
Chhatarpur,63.74,883,8687,203,42.66
Upper Subansiri,63.8,998,7032,12,39.99
Barpeta,63.81,953,2282,742,33.17
Jyotiba Phule Nagar,63.84,910,2249,818,32.56
Khunti,63.86,997,2535,210,48.88
Sheikhpura,63.86,930,689,924,35.3
Begusarai,63.87,895,1918,1549,31.58
Dindori ,63.9,1002,7470,94,55.35
Sonbhadra,64.03,918,6905,270,39.21
Dibang Valley,64.1,813,9129,1,44.42
Kandhamal,64.13,1037,8021,91,48.47
Karimnagar,64.15,1008,11823,319,49.7
Nalgonda,64.2,983,14240,245,49.92
Burhanpur,64.36,951,3427,221,43.33
Nandurbar,64.38,978,5955,277,48.05
Nalanda,64.43,922,2355,1222,36.33
Sidhi,64.43,957,4851,232,40.97
Puruliya,64.48,957,6259,468,42.65
Kupwara,64.51,835,2379,366,26.32
Hardoi,64.57,868,5986,684,32.23
Jamtara,64.59,954,1811,437,41.29
Baramula,64.63,885,4243,238,30.18
Doda,64.68,919,8912,46,37.06
Balangir,64.72,987,6575,251,43.7
Panna,64.79,905,7135,142,42.5
Khammam,64.81,1011,16029,175,50.41
Deoghar,64.85,925,2477,602,36.96
Gulbarga,64.85,971,10954,234,42.36
Chitrakoot,65.05,879,3216,308,39.75
Warangal,65.11,997,12846,273,48.56
Bikaner,65.13,905,30239,78,41.72
Kokrajhar,65.22,959,3296,269,38.45
Kushinagar,65.25,961,2905,1227,31.34
Mahoba,65.27,878,3144,279,39.92
Banas Kantha,65.32,938,10743,290,40.01
Sawai Madhopur,65.39,897,4498,297,43.28
Udalguri,65.41,973,2012,413,41.49
Gopalganj,65.47,1021,2033,1260,28.42
Gumla,65.73,993,5360,191,47.55
Muktsar,65.81,896,2593,348,37.18
Lawangtlai,65.88,945,2557,46,38.65
Umaria,65.89,950,4076,158,44.93
Jodhpur,65.94,916,22850,161,40.4
Saran (chhapra),65.96,954,2641,1496,26.32
Karauli,66.22,861,5524,264,43.12
Unnao,66.37,907,4558,682,36.18
East Nimar,66.39,943,7352,178,46.79
Ashoknagar,66.42,904,4674,181,37.31
West Siang,66.46,930,8325,13,43.8
Murshidabad ,66.59,958,5324,1334,36.46
Vaishali,66.6,895,2036,1717,30.34
Baran,66.66,929,6992,175,45.19
Banda,66.67,863,4408,408,39
Shahdol,66.67,974,6205,172,46.25
Sant Kabir Nagar,66.72,972,1646,1042,31.45
Punch,66.74,893,1674,285,33.85
Churu,66.75,940,13835,147,44.27
Ratlam,66.78,971,4861,299,47.49
Jehanabad ,66.8,922,931,1209,32.47
Kodarma,66.84,950,2540,282,35.94
Mandla,66.87,1008,5800,182,53.05
Visakhapatnam,66.91,1006,11161,384,44.05
West Kameng,67.07,819,7422,11,50.62
Hanumangarh,67.13,906,9656,184,47.07
Bijapur,67.15,960,10498,207,42.61
Basti,67.22,963,2688,917,31.8
Rae Bareli,67.25,943,4609,739,35.37
Y.S.R.,67.3,985,15359,188,45.81
Sonitpur,67.34,956,5204,370,40.05
Goalpara,67.37,964,1824,553,35.96
Guntur,67.4,1003,11391,429,48.73
Arwal,67.43,928,638,1099,33.72
Bellary,67.43,983,8461,290,45.54
Fatehpur,67.43,901,4152,634,40.41
Aligarh,67.52,882,3650,1007,31.97
West Garo Hills,67.58,984,3677,175,39.75
Lohardaga,67.61,985,1502,307,47.93
Saraikela-Kharsawan,67.7,956,2657,401,40.38
Tarn Taran,67.81,900,2414,464,34
Barnala,67.82,876,1482,402,35.15
Anuppur,67.88,976,3747,200,46.24
Fatehabad,67.92,902,2538,371,39.18
Jashpur ,67.92,1005,5838,146,57.22
Sangrur,67.99,885,3625,457,34.36
Simdega,67.99,997,3774,159,48.14
Marigaon,68.03,967,1551,617,36.68
Koppal,68.09,986,5570,250,47.11
Dausa,68.16,905,3432,476,41.88
Rajouri,68.17,860,2630,244,45.28
Lohit,68.18,912,5212,28,41.82
Kendujhar,68.24,988,8303,217,42.54
Tapi,68.26,1007,3139,257,55.87
Bathinda,68.28,868,3353,414,39.61
Bijnor,68.48,917,4561,807,29.54
Mirzapur,68.48,903,4405,567,35.32
Udhampur,68.49,870,2637,210,43.91
Dharmapuri,68.54,946,4497,335,49.85
Faizabad,68.73,962,2341,1056,33.64
Hamirpur,68.77,861,4021,275,40.18
Bagalkot ,68.82,989,6552,288,43.29
Sirsa,68.82,897,4277,303,38.76
Bulandshahr ,68.88,896,4512,776,33.53
Betul,68.9,971,10043,157,49.96
Sri Potti Sriramulu Nellore,68.9,985,13076,227,44.36
Firozpur,68.92,893,5305,382,37.29
Sant Ravi das Nagar(Bhadohi),68.97,955,1015,1555,29.82
Farrukhabad,69.04,874,2181,864,31.42
Dhaulpur,69.08,846,3033,398,43.37
Shajapur,69.09,938,6195,244,47.46
Muzaffarnagar,69.12,889,4008,1034,31.17
Lower Dibang Valley,69.13,928,3900,14,41.28
Kaithal,69.15,881,2317,464,34.8
Ramanagara,69.22,976,3516,308,49.09
Baksa,69.25,974,2457,387,42.81
Karbi Anglong,69.25,951,10434,92,40.1
Sultanpur,69.27,983,4436,856,32.73
Palwal ,69.32,880,1359,767,29.69
Ajmer,69.33,951,8481,305,40.79
Kaimur (Bhabua),69.34,920,3332,488,31.43
Dewas,69.35,942,7020,223,47.49
Srinagar,69.41,900,1979,625,32.92
Siwan,69.45,988,2219,1501,28
Kiphire,69.54,956,1130,65,43.19
Faridkot,69.55,890,1458,424,35.88
Ganganagar ,69.64,887,10978,179,46.35
Tinsukia,69.66,952,3790,350,41.96
Damoh,69.73,910,7306,173,45.45
Bongaigaon,69.74,966,1093,676,34.62
Hazaribagh,69.75,947,3555,488,37.74
Chikkaballapura,69.76,972,4244,296,50.97
Tamenglong ,70.05,943,4391,32,50.25
Sehore,70.06,918,6578,199,44.69
Pratapgarh,70.09,998,3717,863,33.24
Bharatpur,70.11,880,5066,503,42.03
Buxar,70.14,922,1703,1002,31.55
Bankura ,70.26,957,6882,523,40.77
Uttar Bastar Kanker,70.29,1006,7161,105,51.99
Aurangabad,70.32,926,3305,769,32.98
Mathura,70.36,863,3340,763,33.01
Mandya,70.4,995,4962,364,48.26
Munger,70.46,876,1419,964,31.19
Bhojpur,70.47,907,2395,1139,30.15
Saharanpur,70.49,890,3689,940,29.93
Bidar,70.51,956,5448,313,41.25
Vidisha,70.53,896,7371,198,37.73
Kachchh,70.59,908,45674,46,37.1
Koriya,70.64,968,6604,100,46.6
Birbhum,70.68,956,4545,771,38.02
Moga,70.68,893,2242,444,36.07
Patna,70.68,897,3202,1823,32.23
Alwar,70.72,895,8380,438,46.5
Bilaspur,70.78,971,8272,322,45.17
Neemuch ,70.8,954,4256,194,50.68
Etah,70.81,873,2431,730,30.77
Gorakhpur,70.83,950,3321,1337,30.44
Azamgarh,70.93,1019,4054,1138,29.74
Ballia,70.94,937,2981,1087,31.47
East Godavari,70.99,1006,10807,477,40.62
Panch Mahals,70.99,949,5231,457,45.91
Mahasamund,71.02,1017,4790,216,48.34
Morena,71.03,840,4989,394,34.38
Ganjam,71.09,983,8206,430,42.55
Chandel,71.11,933,3313,44,52.88
Deoria,71.13,1017,2540,1221,28.26
Chhindwara,71.16,964,11815,177,45.82
Ariyalur  ,71.34,1015,1940,389,47.67
Kargil,71.34,810,14036,10,36.84
Jind,71.44,871,2702,494,39.23
Krishnagiri,71.46,958,5129,367,46.7
Chandauli,71.48,918,2541,768,33.42
Jalna,71.52,937,7718,254,47.52
Chittoor,71.53,997,15152,275,46.32
Jaunpur,71.55,1024,4038,1113,31.98
Agra,71.58,868,4041,1093,31.45
Mahamaya Nagar,71.59,871,1840,850,30.94
Bauda,71.61,991,3098,142,49.75
Rewa,71.62,931,6314,375,41.94
South Garo Hills,71.72,945,1887,75,37.28
Ghazipur,71.78,952,3377,1072,33.27
Mandsaur,71.78,963,5535,242,50.71
Viluppuram,71.88,987,7194,481,49.24
Sikar,71.91,947,7732,346,37.59
Firozabad,71.92,875,2407,1038,30.48
Katni ,71.98,952,4950,261,42.09
Baghpat,72.01,861,1321,986,31.98
Bokaro,72.01,922,2883,715,33.23
Seoni,72.12,982,8758,157,49.63
Surendranagar,72.13,930,10423,168,41.2
Chamba,72.17,986,6522,80,56.65
Longleng,72.17,905,562,90,60.55
Ambedkar Nagar,72.23,978,2350,1020,32.84
Satna,72.26,926,7502,297,40.89
Patan  ,72.3,935,5792,232,41.29
Narmada,72.31,961,2817,210,49.94
Allahabad,72.32,901,5482,1086,35.47
Ujjain,72.34,955,6091,326,45.17
Korba ,72.37,969,6598,183,43.19
Nagaon,72.37,962,3973,711,34.71
Harda ,72.5,935,3334,171,40.49
East Siang,72.54,980,3603,28,40.54
Debagarh,72.57,975,2940,106,52.94
Erode,72.58,993,5760,391,53.1
Datia,72.63,873,2902,271,40.82
Dhemaji,72.7,953,3237,212,46.17
Kannauj,72.7,879,2093,792,31.67
Mysore,72.79,985,6307,476,43.79
Dhule,72.8,946,7195,285,45.66
Dakshin Dinajpur,72.82,956,2219,755,41.94
Meerut,72.84,886,2559,1346,31.67
Salem,72.86,954,5237,665,48.65
Hisar,72.89,872,3983,438,39.66
Raisen,72.98,901,8466,157,38.89
Janjgir-champa,73.07,986,3853,420,52.26
Tuensang,73.08,929,2536,78,49.93
Kathua,73.09,890,2502,246,32.51
Mau,73.09,979,1713,1288,31.58
Udham Singh Nagar,73.1,920,2542,649,35.87
Ramgarh,73.17,921,1341,708,32.87
Jalpaiguri ,73.25,953,6227,622,39.06
Raigarh,73.26,991,7086,211,46.2
Parbhani,73.34,947,6214,295,44.81
Sundargarh,73.34,973,9712,216,41.71
Rohtas,73.37,918,3881,763,31.25
Hardwar,73.43,880,2360,801,30.58
Belgaum,73.48,973,13433,356,44.05
Jamnagar,73.65,939,14184,152,39.23
Chitradurga,73.71,974,8436,197,51.62
Krishna,73.74,992,8727,518,45.36
Jalaun ,73.75,865,4565,370,36.73
East Garo Hills,73.95,972,2603,122,39.66
Jhunjhunun,74.13,950,5928,361,41.86
Senapati,74.13,959,3271,59,45.45
Tiruvannamalai,74.21,994,6188,398,50.23
Amreli,74.25,964,7397,205,43.4
Perambalur  ,74.32,1003,1756,322,53.03
Hailakandi,74.33,951,1327,497,32.5
Lower Subansiri,74.35,984,3508,24,36.37
Garhchiroli,74.36,982,14412,74,54.45
Kolar,74.39,979,3979,386,46.72
Subarnapur,74.42,960,2337,261,46.98
Thoubal,74.47,1002,514,821,46.27
Dhanbad,74.52,909,2040,1316,31.46
Bargarh,74.62,977,5837,254,51.45
Namakkal   ,74.63,986,3420,505,52.02
West Godavari,74.63,1004,7742,509,45.04
Karnal,74.73,887,2520,597,34.28
Koch Bihar ,74.78,942,3387,832,40.01
Nadia ,74.97,947,3927,1316,35.66
Jhansi,75.05,890,5024,398,40.77
Gadag,75.12,982,4657,229,46.57
Tumkur,75.14,984,10597,253,50.57
The Dangs,75.16,1006,1766,129,51.8
Bhiwani,75.21,886,4778,342,38.12
Bhind,75.26,837,4459,382,30.58
Patiala,75.28,891,3325,570,34.83
Hoshangabad,75.29,914,6703,185,38.51
Nanded,75.45,943,10528,319,44.45
Purbi Singhbhum,75.49,949,3562,644,36.5
Jaipur,75.51,910,11143,595,37.2
Bhavnagar,75.52,933,10034,287,39.95
Kamrup,75.55,949,3105,489,41.45
Raipur,75.56,984,12383,328,43.25
Karur ,75.6,1015,2904,367,51.04
Varanasi,75.6,913,1535,2395,33.2
Ri bhoi,75.67,953,2448,106,41.13
Narsimhapur,75.69,920,5133,213,43.76
Davanagere,75.74,972,5924,328,44.99
Kanpur Dehat,75.78,865,3021,595,35.01
Porbandar ,75.78,950,2316,253,39.49
Sabar Kantha,75.79,952,7394,328,44.67
Junagadh,75.8,953,8831,311,40.97
Uttarkashi,75.81,958,8016,41,47.65
Bishnupur,75.85,999,496,479,46.31
Rangareddy,75.87,961,7493,707,41.46
Panipat,75.94,864,1268,951,34.2
Rajnandgaon,75.96,1015,8070,190,52.05
Mainpuri,75.99,881,2760,677,30.02
Dibrugarh,76.05,961,3381,392,42.26
Ranchi,76.06,949,5097,572,39.22
Hassan,76.07,1010,6814,261,50.87
Barddhaman ,76.21,945,7024,1099,37.72
Sambalpur,76.22,976,6624,157,48.59
Dadra & Nagar Haveli,76.24,774,491,700,45.73
Dindigul,76.26,998,6036,358,51.17
Amritsar ,76.27,889,2683,928,36.85
Kurukshetra,76.31,888,1530,630,34.91
Tehri Garhwal,76.36,1077,3642,170,45.31
Sagar,76.46,893,10252,232,42.3
Kota,76.56,911,5217,374,38.38
Gwalior,76.65,864,4560,446,33.73
Lahul & Spiti,76.81,903,13841,2,61.13
Bid,76.99,916,10693,242,48.57
Solapur,77.02,938,14895,290,43.97
Balaghat,77.09,1021,9229,184,52.48
Pudukkottai,77.19,1015,4644,348,47.07
Lakhimpur,77.2,968,2277,458,41.26
Leh (Ladakh),77.2,690,45110,3,56.24
Latur,77.26,928,7157,343,42.66
Theni  ,77.26,991,2868,434,47.49
Lucknow,77.29,917,2528,1816,33.61
West District,77.39,942,1166,117,51.56
Haveri,77.4,950,4823,331,45.7
Golaghat,77.43,964,3502,305,44.98
South 24 Parganas,77.51,956,9960,819,36.32
Anugul  ,77.53,943,6375,200,41.33
Dima Hasao,77.54,932,4888,44,39.71
Mahendragarh,77.72,895,1899,486,36.72
West Khasi Hills,77.87,980,5247,73,42.6
Bangalore Rural,77.93,946,2298,431,46.41
Peren,77.95,915,1651,58,64.47
Yamunanagar,77.99,877,1768,687,32.06
Pashchim Medinipur,78,966,9368,631,42.43
North  District,78.01,767,4226,10,53.44
Cuddalore,78.04,987,3703,704,44.89
Phek,78.05,951,2026,81,49.12
Nicobar,78.06,777,1841,20,46.48
Ghaziabad,78.07,881,1179,3971,32.48
Hingoli,78.17,942,4827,244,48.34
Jalgaon,78.2,925,11765,360,44.06
Karimganj,78.22,963,1809,679,32.49
Dhamtari ,78.36,1010,4084,196,50.38
Etawah,78.41,870,2311,684,31.99
Osmanabad,78.44,924,7569,219,46.69
Valsad,78.55,922,3008,567,43.57
Nalbari,78.63,949,1052,733,34.68
Tiruppur,78.68,989,5187,478,51.07
Dhenkanal,78.76,947,4452,268,36.51
Sirmaur,78.8,918,2825,188,52.86
Jharsuguda,78.86,953,2114,274,42.74
Vadodara,78.92,934,7546,552,40.65
Auraiya,78.95,864,2016,684,32.04
Aurangabad,79.02,923,10107,366,42.55
Ahmadnagar,79.05,939,17048,266,48.53
Durg,79.06,988,8535,392,44.76
Kapurthala ,79.07,912,1633,499,34.86
Sonipat,79.12,856,2122,683,36.08
Vellore,79.17,1007,6075,648,42.92
Chikmagalur,79.25,1008,7202,158,49.72
Cachar,79.34,959,3786,459,35.01
Fatehgarh Sahib,79.35,871,1180,509,35.79
Kullu,79.4,942,5503,80,61.45
Yanam,79.47,1038,30,1854,30.13
Darjiling ,79.56,970,3149,586,37.02
Kanpur Nagar,79.65,862,3155,1452,34.32
Shahid Bhagat Singh Nagar ,79.78,954,1282,478,33.37
Baleshwar,79.79,957,3806,610,40.19
Champawat,79.83,980,1766,147,38.35
Sivaganga,79.85,1003,4233,316,46.31
Gurdaspur,79.95,895,3551,647,32.94
Papum Pare,79.95,980,3462,51,37.25
Dharwad,80,971,4260,434,42.49
Kinnaur,80,819,6401,13,66.9
Bageshwar,80.01,1090,2241,116,47.57
Chandrapur,80.01,961,11443,193,48
Gautam Buddha Nagar,80.12,851,1282,1286,34.53
Jajapur  ,80.13,973,2899,630,30.22
Virudunagar,80.15,1007,4241,458,48.92
Rohtak,80.22,867,1745,608,32.6
Bhopal,80.37,918,2772,855,36.59
Sivasagar,80.41,954,2668,431,42.2
Nayagarh  ,80.42,915,3890,248,35.69
Shimoga,80.45,998,8478,207,44.54
"Almora
",80.47,1139,3144,198,47.9
Jhajjar,80.65,862,1834,523,34.07
Ramanathapuram,80.72,983,4104,330,44.55
Indore,80.87,928,3898,841,38.7
Rajkot,80.96,927,11198,340,38.88
Rewari,80.99,898,1594,565,37.51
Jabalpur,81.07,929,5211,473,40.82
Rudraprayag,81.3,1114,1984,122,46.65
Ukhrul,81.35,943,4544,40,47.79
Samba,81.41,886,904,353,29.01
South District,81.42,915,750,196,50.9
Sangli,81.48,966,8572,329,43.06
Bharuch,81.51,925,6509,238,40.43
Kolhapur,81.51,957,7685,504,43.96
Mandi,81.53,1007,3950,253,57.28
Faridabad,81.7,873,741,2442,32.01
Ambala,81.75,885,1574,717,32.98
Hugli ,81.8,961,3149,1753,39.01
Panchkula,81.88,873,898,625,37.68
Imphal East,81.95,1017,709,643,42.72
Garhwal,82.02,1103,5329,129,39.89
Jorhat,82.15,962,2851,383,45.65
Ratnagiri,82.18,1122,8208,197,44.21
Rupnagar,82.19,915,1356,505,34.13
Ludhiana,82.2,873,3578,978,36.72
Pithoragarh,82.25,1020,7090,68,44.78
Nashik,82.31,934,15530,393,45.25
Jalandhar,82.48,915,2624,836,35.31
Tirunelveli ,82.5,1023,6693,460,46.68
Kodagu,82.61,1019,4102,135,50.3
Thanjavur,82.64,1035,3411,705,40.49
Chamoli,82.65,1019,8030,49,46.2
Kheda,82.65,940,3953,582,40.61
Bhadrak,82.78,981,2505,601,31.11
Churachandpur,82.78,975,4570,60,44.74
Yavatmal,82.82,952,13582,204,48.91
Thiruvarur,82.86,1017,2274,556,42.73
Satara,82.87,988,10480,287,45.11
North East,83.09,886,62,36155,29.5
Raigarh,83.14,959,7152,368,40.73
Tiruchirappalli,83.23,1013,4509,604,44.59
Hyderabad,83.25,954,217,18172,35.84
Washim,83.25,930,4898,244,47.6
Haora ,83.31,939,1467,3306,37.52
Buldana,83.4,934,9661,268,47.16
Jammu,83.45,880,2342,653,33.24
Madurai,83.45,990,3710,819,44.59
Diu,83.46,1031,39,1335,30.25
Nagappattinam  ,83.59,1025,2569,629,41.57
Mahesana,83.61,926,4401,462,39.9
Shimla,83.64,915,5131,159,52.94
Solan,83.68,880,1936,300,51.48
Bhandara,83.76,982,4087,294,49.76
Sahibzada Ajit Singh Nagar,83.8,879,1094,909,35.79
East District,83.85,873,954,297,49.25
Nainital,83.88,934,4251,225,39.41
Navsari  ,83.88,961,2246,592,44.51
North & Middle Andaman,83.91,925,3736,28,36.53
Coimbatore,83.98,1000,4732,731,45.34
Thiruvallur,84.03,987,3394,1098,41.26
North 24 Parganas,84.06,955,4094,2445,35.68
Uttara Kannada,84.06,979,10277,140,42.34
East Khasi Hills,84.15,1011,2748,301,39.57
Gandhinagar,84.16,923,2140,650,38.44
Dehradun,84.25,902,3088,549,34.35
Anand  ,84.37,925,3204,653,40.37
North West,84.45,865,443,8254,32.5
Kancheepuram,84.49,986,4483,892,41.86
Thane,84.53,886,9558,1157,40.62
Bilaspur,84.59,981,1167,327,53.9
Hoshiarpur,84.59,961,3386,469,31.5
South Tripura ,84.66,957,3057,287,41.88
Puri,84.67,963,3479,488,36.6
Gurgaon,84.7,854,1258,1204,35.97
Dimapur ,84.79,919,927,409,39.95
Mamit,84.93,927,3025,29,45.55
Gondiya,84.95,999,5234,253,50.31
Central,85.14,892,21,27730,35.61
Kendrapara ,85.15,1007,2644,545,32.41
The Nilgiris,85.2,1042,2565,287,47.59
Kohima,85.23,928,1463,183,42.85
Zunheboto,85.26,976,1255,112,56.46
Ahmadabad,85.31,904,8107,890,35.97
Puducherry,85.44,1029,294,3232,36.63
Cuttack,85.5,940,3932,667,35.68
Surat,85.53,787,4549,1337,41.99
Sindhudurg,85.56,1036,5207,163,40.86
Kangra,85.67,1012,5739,263,44.71
Dhalai,85.72,944,2400,158,41.2
Chandigarh,86.05,818,114,9258,38.29
Imphal West,86.08,1031,519,998,41.2
Pune,86.15,915,15643,603,42.94
Thoothukkudi,86.16,1023,4745,369,42.74
Udupi,86.24,1094,3582,329,43.59
Kolkata,86.31,908,185,24306,39.93
Una,86.53,976,1540,338,41.32
South,86.57,862,247,11060,33.84
Jagatsinghapur ,86.59,968,1668,682,35.5
North,86.85,869,61,14557,33.38
Khordha ,86.88,929,2813,800,35.18
West,86.98,875,130,19563,34.38
Wardha,86.99,946,6309,206,46.76
Purba Medinipur,87.02,938,4713,1081,37.49
Karaikal,87.05,1047,157,1275,34.11
Amravati,87.38,951,12210,237,42.8
North Tripura,87.5,967,2036,341,35.83
South Goa,87.59,986,1966,326,38.97
Bangalore,87.67,916,2196,4381,44.14
Wokha,87.69,968,1628,102,47.14
Akola,88.05,946,5676,320,42.35
Daman,88.07,534,72,2655,55.2
Hamirpur,88.15,1095,1118,407,53.2
South West,88.28,840,421,5446,34.69
New Delhi,88.34,822,35,4057,41.93
Nagpur,88.39,951,9892,470,40.15
Dakshina Kannada,88.57,1020,4861,430,47.75
West Tripura ,88.69,962,2993,577,40.46
Kamrup Metropolitan,88.71,936,955,1313,39.15
Lunglei,88.86,947,4536,36,48.5
Wayanad,89.03,1035,2130,384,41.6
South Andaman,89.13,871,2672,89,40.66
Mumbai,89.21,832,157,19652,41.63
East,89.31,884,63,27132,33.91
Palakkad,89.31,1067,4482,627,37.09
North Goa,89.57,963,1736,471,40.06
Mumbai Suburban,89.91,860,446,20980,39.92
Saiha,90.01,979,1399,40,34.4
Kasaragod,90.09,1080,1989,657,35.41
Chennai,90.18,989,175,26553,39.11
Mokokchung,91.62,925,1615,121,51.42
Kanniyakumari,91.75,1019,1684,1111,36.34
Lakshadweep,91.85,946,30,2149,29.09
Idukki ,91.99,1006,4356,255,46.56
Thiruvananthapuram,93.02,1087,2189,1508,37.31
Kolasib,93.5,956,1382,61,43.68
Malappuram,93.57,1098,3554,1157,25.83
Kollam,94.09,1113,2483,1061,34.61
Kozhikode,95.08,1098,2345,1316,30.75
Thrissur,95.08,1108,3027,1031,35.11
Kannur,95.1,1136,2961,852,32.66
Alappuzha,95.72,1100,1415,1504,37.81
Ernakulam,95.89,1027,3063,1072,38.06
Champhai,95.91,984,3185,39,47.99
Pathanamthitta,96.55,1132,2652,452,32.8
Kottayam,97.21,1039,2206,895,37.26
Mahe,97.87,1184,9,4646,28.22
Aizawl,97.89,1009,3576,112,43.63
Serchhip,97.91,977,1421,46,49.89
